facultyId,name
1,Biological Sciences
1,Chemistry
1,Computer Science
1,Geoscience
1,Mathematics and Statistics
1,Physics and Astronomy
2,Anthropology and Archaeology
2,Art and Art History
2,Classics and Religion
2,Communication Media and Film
2,Creative and Performing Arts (School of)
2,Economics
2,English
2,Geography
2,History
2,Languages Linguistics Literatures and Cultures (School of)
2,Philosophy
2,Political Science
2,Psychology
2,Sociology
