programId,requiredCourses,optionalCourses,requiredUnits
CPSC_MAJ,"[{'type': 'set', 'options': [['CPSC 231', 'CPSC 233'], ['CPSC 217', 'CPSC 219'], ['CPSC 235', '300-level CPSC']]}, {'type': 'list', 'courses': ['CPSC 251', 'CPSC 331', 'CPSC 355', 'CPSC 441', 'CPSC 449', 'CPSC 481', 'SENG 300']}, {'type': 'choice', 'options': [['MATH 211', 'MATH 213'], ['MATH 249', 'MATH 265', 'MATH 275']]}, {'type': 'list', 'courses': ['PHIL 279', 'PHIL 377', 'PHIL 379', 'PHIL 314']}]","[{'type': 'list', 'courses': ['300-level CPSC', '400-level CPSC', '500-level CPSC']}, {'type': 'breadth', 'requirements': '9 units outside the Faculty of Science, with at least 6 units from the Faculty of Arts, including Science 311'}, {'type': 'non-major', 'units': 30}, {'type': 'options', 'units': 15}]",120
CPSC_MIN,"[{'type': 'set', 'options': [['CPSC 217', 'CPSC 219'], ['CPSC 231', 'CPSC 233'], ['CPSC 235', 'senior CPSC option']]}, {'type': 'list', 'courses': ['CPSC 319', 'CPSC 331']}]", "[{'type': 'list', 'courses': ['300-level CPSC', '400-level CPSC']}, {'type': 'set', 'description': 'Courses constituting the field of Computer Science'}]",21
